SuperWEB2(tm)

"Domestic Overnight Trips"
"Quarter and Stopover state/region/SA2 by Stopover reason"
"Counting: Overnight trips (000)"

Filters:
"Default Summation","Overnight trips (000)"

,"Stopover reason","Holiday","Visiting friends and relatives","Business","Other reason","No other reason","In transit","Not stated/not asked","Total",
,"Barkly",37.8703964,1.0280079,4.6672209,0,0,0,13.3475607,56.9131859,
,"Alice Springs",76.541382,6.7868396,21.7776673,5.8125524,0,0,19.0231768,129.9416181,
,"Kakadu Arnhem",35.9056442,1.2488601,10.8691556,1.4353297,0,0.4360357,9.7058126,59.6008379,
,"Katherine Daly",57.8287509,10.7130221,6.7257961,6.7057969,0,0.6379243,20.8860088,102.8593748,
,"Lasseter",33.7739191,2.8196175,6.3820996,0,0,0,16.7322541,59.7078903,
,"MacDonnell",12.1587442,0.7187126,3.825849,2.937702,0,0,7.8733033,27.5143111,
,"Northern Territory",180.2613888,51.1191316,78.8526061,14.1959511,0,1.07396,27.5975036,347.2695045,
,"Canberra",110.6796454,172.5140995,129.5651167,23.2701495,0,2.3804517,5.5241628,443.9336256,
,"ACT",110.6796454,172.5140995,129.5651167,23.2701495,0,2.3804517,5.5241628,443.9336256,
"December quarter 1998","Sydney",579.7480437,881.14727,598.9650738,91.053239,0,0,2.2100087,2147.015816,
,"Blue Mountains",135.2936988,93.7523396,16.5278072,0,0,0,1.9182972,247.4921428,
,"Capital Country",102.9068912,96.6611445,24.0578948,5.4630074,0,5.30312,4.7209133,239.1129712,
,"Central Coast",158.9074539,141.3651719,31.5444344,0,0,0,4.7209133,336.5379735,
,"Central NSW",284.6541445,142.5305646,136.6599771,26.3137492,0,13.7645543,11.0903314,603.5960943,
,"Hunter",218.1520211,252.0542735,95.4631512,25.8995008,0,13.5591046,8.2515491,609.6930531,
,"New England North West",110.7089109,110.6920851,46.2504558,12.1447427,0,15.8524486,3.1001176,296.6936243,
,"North Coast NSW",607.4361498,383.7245161,132.8306601,59.868645,0,40.12923,11.9559346,1213.3225921,
,"Outback NSW",58.7494056,27.4423027,92.0156939,7.2626206,0,2.4803723,6.783362,194.7337571,
,"Riverina",58.2725394,91.4787471,51.3722398,0,0,9.0511006,5.9994465,216.1740734,
,"Snowy Mountains",89.8253526,24.082805,9.1479185,3.373776,0,0,2.2100087,128.6398608,
,"South Coast",532.7664927,234.6392089,54.7875135,7.7210429,0,7.1576213,11.8384101,844.6898334,
,"The Murray",145.25594,127.3469463,54.6544577,9.1103503,0,27.4023828,9.120409,372.0211766,
,"New South Wales",2804.2744997,2501.2115948,1303.8547657,243.0317851,0,98.8679821,98.3521894,6859.6747797,
,"Melbourne",450.6995818,574.6393734,429.1994886,56.6439903,0,5.4186233,5.5546549,1521.6683872,
,"Ballarat",38.8054852,87.5652184,9.70202,0,0,1.7865256,3.9807459,141.8399951,
,"Bendigo Loddon",54.3908421,119.7175075,9.1698609,3.3757162,0,0,0,186.6539267,
,"Central Highlands",99.6268096,31.6177882,13.1619497,0,0,0,2.0624487,146.4689962,
,"Central Murray",102.5462301,109.8684337,5.9556325,2.3840923,0,1.738619,0,222.4930076,
,"Geelong and the Bellarine",79.9847904,90.5214364,17.8169976,10.1477062,0,0,0,198.4709306,
,"Gippsland",87.1350004,85.4059153,30.2222175,24.4242693,0,1.7865256,0,227.1874025,
,"Goulburn",38.2652444,105.3641618,4.9614891,0,0,1.7251415,0,150.3160368,
,"Great Ocean Road",274.8485643,136.5723536,21.3205243,8.6512531,0,6.034127,6.6392105,452.9130675,
,"High Country",117.2793359,101.7071077,14.883228,0,0,0,0,231.2544618,
,"Lakes",79.8797421,33.3556601,26.9473938,1.9373184,0,8.1035506,10.0518845,157.5832505,
,"Macedon",16.3162039,26.2035929,5.0875462,0,0,0,0,47.607343,
,"Mallee",107.4101145,79.399373,18.0246312,0,0,4.9793882,10.7725343,220.5860412,
,"Melbourne East",36.3773005,16.7692662,4.1248974,2.692299,0,0,0,59.9637631,
,"Murray East",0,23.0355914,2.6508424,6.6492858,0,0,0,32.3357196,
